11111111118,21111111111115
11111111113,21111111111113
11111111110,21111111111118
21111111110,21111111111121
21111111119,21111111111112
21111111116,21111111111110
21111111113,21111111111116
21111111116,21111111111120
21111111110,21111111111126
21111111115,21111111111126
11111111111,21111111111123
21111111115,21111111111116
11111111113,21111111111119
11111111115,21111111111120
21111111114,21111111111126
21111111113,21111111111129
11111111113,21111111111121
21111111119,21111111111129
21111111115,21111111111110
21111111116,21111111111123
